Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T10:00+01:00;2025-01-04T11:00+01:00;2025-01-04;10:00;11:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T11:00+01:00;2025-01-04T12:00+01:00;2025-01-04;11:00;12:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T12:00+01:00;2025-01-04T13:00+01:00;2025-01-04;12:00;13:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T13:00+01:00;2025-01-04T14:00+01:00;2025-01-04;13:00;14:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T14:00+01:00;2025-01-04T15:00+01:00;2025-01-04;14:00;15:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T15:00+01:00;2025-01-04T16:00+01:00;2025-01-04;15:00;16:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T16:00+01:00;2025-01-04T17:00+01:00;2025-01-04;16:00;17:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T17:00+01:00;2025-01-04T18:00+01:00;2025-01-04;17:00;18:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T18:00+01:00;2025-01-04T19:00+01:00;2025-01-04;18:00;19:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T19:00+01:00;2025-01-04T20:00+01:00;2025-01-04;19:00;20:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T20:00+01:00;2025-01-04T21:00+01:00;2025-01-04;20:00;21:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T21:00+01:00;2025-01-04T22:00+01:00;2025-01-04;21:00;22:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T22:00+01:00;2025-01-04T23:00+01:00;2025-01-04;22:00;23:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-04T23:00+01:00;2025-01-05T00:00+01:00;2025-01-04;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T00:00+01:00;2025-01-05T01:00+01:00;2025-01-05;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T01:00+01:00;2025-01-05T02:00+01:00;2025-01-05;01:00;02:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T02:00+01:00;2025-01-05T03:00+01:00;2025-01-05;02:00;03:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T03:00+01:00;2025-01-05T04:00+01:00;2025-01-05;03:00;04:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T04:00+01:00;2025-01-05T05:00+01:00;2025-01-05;04:00;05:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T05:00+01:00;2025-01-05T06:00+01:00;2025-01-05;05:00;06:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T06:00+01:00;2025-01-05T07:00+01:00;2025-01-05;06:00;07:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T07:00+01:00;2025-01-05T08:00+01:00;2025-01-05;07:00;08:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T08:00+01:00;2025-01-05T09:00+01:00;2025-01-05;08:00;09:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T09:00+01:00;2025-01-05T10:00+01:00;2025-01-05;09:00;10:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T10:00+01:00;2025-01-05T11:00+01:00;2025-01-05;10:00;11:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T11:00+01:00;2025-01-05T12:00+01:00;2025-01-05;11:00;12:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T12:00+01:00;2025-01-05T13:00+01:00;2025-01-05;12:00;13:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T13:00+01:00;2025-01-05T14:00+01:00;2025-01-05;13:00;14:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T14:00+01:00;2025-01-05T15:00+01:00;2025-01-05;14:00;15:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T15:00+01:00;2025-01-05T16:00+01:00;2025-01-05;15:00;16:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T16:00+01:00;2025-01-05T17:00+01:00;2025-01-05;16:00;17:00;1;2
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T17:00+01:00;2025-01-05T18:00+01:00;2025-01-05;17:00;18:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T18:00+01:00;2025-01-05T19:00+01:00;2025-01-05;18:00;19:00;1;3
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T19:00+01:00;2025-01-05T20:00+01:00;2025-01-05;19:00;20:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T20:00+01:00;2025-01-05T21:00+01:00;2025-01-05;20:00;21:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T21:00+01:00;2025-01-05T22:00+01:00;2025-01-05;21:00;22:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T22:00+01:00;2025-01-05T23:00+01:00;2025-01-05;22:00;23:00;1;1
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-05T23:00+01:00;2025-01-06T00:00+01:00;2025-01-05;23:00;00:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T00:00+01:00;2025-01-06T01:00+01:00;2025-01-06;00:00;01:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T01:00+01:00;2025-01-06T02:00+01:00;2025-01-06;01:00;02:00;1;0
55912B613537;Lysaker sykkel;EV18 S55D100 m29;2025-01-06T02:00+01:00;2025-01-06T03:00+01:00;2025-01-06;02:00;03:00;1;0
